Type;Status;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name;Type;Name
Node;KEEP;datastoreReadEvaluationByRecipeAndUser;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreReadEvaluationByUserAndDate;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreReadEvaluationByUserId;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreReadFood;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreReadPack;Node;datastoreCrud;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreReadRecipeAdaptations;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreReadReferenceData;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreRecipeModeration;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreRecipePackAssociation;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreRegenerateIds;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreRoute;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;FIX;datastoreRouteNative;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreSaveNotificationToken;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreSearch;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreSearchSchedules;;;;;;;;;;;;;;;;;;;;;;
Exitpoint;KEEP;datastore-service;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreSynchronization;Node;toDatastore;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreSynchronizationComment;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreSynchronizationContent;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreSynchronizationEvaluation;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreSynchronizationOther;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreSynchronizationPack;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreSynchronizationRecipe;;;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreTranscodificationData;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreUniquenessSerialNumber;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreUnpublishPack;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreUpdate;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;VALIDATE;datastoreUpdateContentTreeStatus;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreUpdateDeleteAccount;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreUpdateOptins;;;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreUpdateProductWithMarket;Node;crud;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreUpdateProfileWrapper;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreUpdateReferenceDataAssociatedDomains;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreUpdateSemanticImprover;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;KEEP;datastoreUpdateVariantsStatus;Node;datastoreRoute;;;;;;;;;;;;;;;;;;;;
Node;DELETE;datastoreUserLearnt;Exitpoint;datastore-service;;;;;;;;;;;;;;;;;;;;
Node;DELETE;delete;Node;datastoreDelete;Node;asynchDelete;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /admin/domains/{domain}/recipes;Node;findUidRecipesByDomain;Node;deleteRecipeByUid;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /comments/batch;Node;batchComments;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /households/{sourceSystem}/{functionalId}/members;Node;crudHouseholdMembers;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /packs/{packKey}/binaries/{binaryId};Node;rudBinary;Node;readReferenceData;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /productReferences/{key};Node;deleteProductReferencesHierarchy;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /profiles/{sourceSystem}/{functionalId};Node;anonymizeProfile;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /profiles/me;Node;anonymizeProfile;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /recipes/{sourceSystem}/{functionalId};Node;deleteRecipe;Node;deleteRecipeAndVariants;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /recipes/{sourceSystem}/{functionalId}/allVariants;Node;deleteRecipe;Node;deleteRecipeAndVariants;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /recipes/{sourceSystem}/{functionalId}/binaries/{binaryId};Node;rudBinary;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /recipes/{sourceSystem}/{functionalId}/packs/{packKey};Node;recipePackAssociation;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /referenceTypes/{resourceName};Node;functionalCreateDomainForReferenceDataType;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /statics/{fid};Node;medias;;;;;;;;;;;;;;;;;;;;
Entrypoint;KEEP;DELETE /statics/{mediaId}/transformations;Node;medias;;;;;;;;;;;;;;;;;;;;
Entrypoint;VALIDATE;DELETE /topRecipes/{topRecipeFunctionalId};Node;getRecipesInfoByTopRecipe;Node;deleteTopRecipe;;;;;;;;;;;;;;;;;;
